,precision,recall,f1-score,support
box,0.9518599562363238,0.9157894736842105,0.9334763948497854,475.0
can,0.9060052219321149,0.9774647887323944,0.940379403794038,355.0
mug,0.9340659340659341,0.9550561797752809,0.9444444444444444,89.0
bottle,0.927007299270073,0.8698630136986302,0.8975265017667845,146.0
bowl,0.975609756097561,0.9090909090909091,0.9411764705882353,44.0
accuracy,0.9323715058611362,0.9323715058611362,0.9323715058611362,0.9323715058611362
macro avg,0.9389096335204012,0.925452872996285,0.9314006430886576,1109.0
weighted avg,0.933423891877138,0.9323715058611362,0.9321390130026329,1109.0
