,pred_box,pred_can,pred_mug,pred_bottle,pred_bowl
true_box,428,44,0,3,0
true_can,4,348,0,1,2
true_mug,2,2,85,0,0
true_bottle,10,10,0,126,0
true_bowl,2,1,1,0,40
