,precision,recall,f1-score,support
box,0.9505376344086022,0.9305263157894736,0.9404255319148936,475.0
can,0.9010416666666666,0.9746478873239437,0.9364005412719891,355.0
mug,0.9882352941176471,0.9438202247191011,0.9655172413793104,89.0
bottle,0.9699248120300752,0.8835616438356164,0.9247311827956989,146.0
bowl,0.9523809523809523,0.9090909090909091,0.9302325581395349,44.0
accuracy,0.9386834986474302,0.9386834986474302,0.9386834986474302,0.9386834986474302
macro avg,0.9524240719207887,0.9283293961518089,0.9394614111002854,1109.0
weighted avg,0.9403443585648116,0.9386834986474302,0.9386801979623091,1109.0
