fold,epoch,train_loss,train_accuracy,learning_rate
1,1,1.1481818916411373,0.5664804469273743,0.001
1,2,0.7930741580504945,0.6849162011173184,0.001
1,3,0.6738958334123623,0.7229050279329609,0.001
1,4,0.5314198944821704,0.8044692737430168,0.001
1,5,0.422028301914311,0.8547486033519553,0.001
1,6,0.36153684131926,0.88268156424581,0.001
1,7,0.2796718982677886,0.9039106145251397,0.001
1,8,0.20502207063596342,0.9318435754189944,0.001
1,9,0.16972917285045433,0.9407821229050279,0.001
1,10,0.23613114043986996,0.9396648044692737,0.001
1,11,0.1301191633889795,0.9620111731843576,0.001
1,12,0.16945730609684018,0.9463687150837988,0.001
1,13,0.1132591244062232,0.9675977653631285,0.001
1,14,0.14707913490314056,0.9452513966480447,0.001
1,15,0.1150157421910563,0.9675977653631285,0.001
1,16,0.08885650919469375,0.9787709497206704,0.001
1,17,0.06822304433659135,0.982122905027933,0.001
1,18,0.08231895767027439,0.9754189944134078,0.001
1,19,0.09042699820460887,0.9720670391061452,0.001
1,20,0.06984304126414506,0.9776536312849162,0.001
1,21,0.0704364059149553,0.976536312849162,0.0005
1,22,0.04748477585634539,0.9888268156424581,0.0005
1,23,0.026681095811241833,0.9921787709497206,0.0005
1,24,0.02033064174856054,0.994413407821229,0.0005
1,25,0.020184821519979884,0.9932960893854749,0.0005
1,26,0.013783369521355495,0.9966480446927374,0.0005
1,27,0.008919526509356597,1.0,0.0005
1,28,0.02332044975238972,0.9932960893854749,0.0005
1,29,0.03302790457174681,0.9877094972067039,0.0005
1,30,0.019137667344008995,0.994413407821229,0.0005
1,31,0.013726422806952004,0.9988826815642458,0.0005
1,32,0.011413834277311517,0.9988826815642458,0.0005
1,33,0.01635611726480989,0.9955307262569832,0.0005
1,34,0.014742172009951576,0.9955307262569832,0.0005
1,35,0.010040392633007225,0.9977653631284916,0.0005
1,36,0.013800969165905936,0.9932960893854749,0.0005
1,37,0.034161560139592796,0.9910614525139665,0.0005
1,38,0.018567691633852416,0.9955307262569832,0.0005
1,39,0.028654681889642052,0.9910614525139665,0.0005
1,40,0.048939655483414175,0.982122905027933,0.0005
1,41,0.030905259662833293,0.9877094972067039,0.00025
1,42,0.01683314743558434,0.9955307262569832,0.00025
1,43,0.012931440706109867,0.994413407821229,0.00025
1,44,0.007925535268644547,0.9988826815642458,0.00025
1,45,0.014044584732180117,0.9966480446927374,0.00025
1,46,0.00911514027949485,0.9977653631284916,0.00025
1,47,0.00819172060634816,0.9977653631284916,0.00025
1,48,0.0052400501226413185,1.0,0.00025
1,49,0.003540582037999102,1.0,0.00025
1,50,0.008392903132249689,0.9966480446927374,0.00025
2,1,1.1835407315595723,0.5627283800243605,0.001
2,2,0.8075054426576566,0.6942752740560292,0.001
2,3,0.5987324086670173,0.7783191230207065,0.001
2,4,0.5057033889912224,0.8392204628501827,0.001
2,5,0.38242086851640394,0.8696711327649208,0.001
2,6,0.3171538888827311,0.9013398294762485,0.001
2,7,0.28002588888323987,0.9135200974421437,0.001
2,8,0.2537171604354547,0.9183922046285018,0.001
2,9,0.1923070986926483,0.9390986601705238,0.001
2,10,0.1382587399338253,0.9561510353227771,0.001
2,11,0.1501037532171001,0.9561510353227771,0.001
2,12,0.1472138001171738,0.953714981729598,0.001
2,13,0.16253057781076025,0.9464068209500609,0.001
2,14,0.12324226880843107,0.9646772228989038,0.001
2,15,0.09849923072058377,0.9719853836784409,0.001
2,16,0.11051267086007563,0.9671132764920828,0.001
2,17,0.15999752601402178,0.9451887941534713,0.001
2,18,0.08197261063647474,0.9780755176613886,0.001
2,19,0.07877792145979753,0.9780755176613886,0.001
2,20,0.07179707306892079,0.97442143727162,0.001
2,21,0.04604832990033763,0.9878197320341048,0.0005
2,22,0.04019976444950783,0.9878197320341048,0.0005
2,23,0.039176615937437126,0.9866017052375152,0.0005
2,24,0.054400607918578585,0.9890377588306942,0.0005
2,25,0.027457712211359144,0.9926918392204629,0.0005
2,26,0.01832821669372368,0.997563946406821,0.0005
2,27,0.020006456921142543,0.9951278928136419,0.0005
2,28,0.02479297601664382,0.9914738124238733,0.0005
2,29,0.023371811851804643,0.9939098660170523,0.0005
2,30,0.02589043671317426,0.9951278928136419,0.0005
2,31,0.019873171605183385,0.9963459196102314,0.0005
2,32,0.02322887094752652,0.9926918392204629,0.0005
2,33,0.014610694356072108,0.9951278928136419,0.0005
2,34,0.015558227574244033,0.9963459196102314,0.0005
2,35,0.019239626348417947,0.9939098660170523,0.0005
2,36,0.021840385684287505,0.9926918392204629,0.0005
2,37,0.021689075984550815,0.9951278928136419,0.0005
2,38,0.012325423606586314,1.0,0.0005
2,39,0.0082615855814669,0.9987819732034104,0.0005
2,40,0.009792679947734006,0.997563946406821,0.0005
2,41,0.015131084289261108,0.997563946406821,0.00025
2,42,0.005423551833429505,1.0,0.00025
2,43,0.010189532514519187,0.9987819732034104,0.00025
2,44,0.011651681152617062,0.9987819732034104,0.00025
2,45,0.005779937777047734,0.9987819732034104,0.00025
2,46,0.005343264404425668,1.0,0.00025
2,47,0.005549475348165461,0.9987819732034104,0.00025
2,48,0.004427325882326163,1.0,0.00025
