fold,epoch,train_loss,train_accuracy,learning_rate
1,1,1.1381655861586837,0.5817361894024803,0.001
1,2,0.789031204335988,0.6944757609921083,0.001
1,3,0.614222859919676,0.7891770011273957,0.001
1,4,0.46499651606617814,0.8286358511837655,0.001
1,5,0.43814286492185367,0.8399098083427283,0.001
1,6,0.4027376968703383,0.8579481397970687,0.001
1,7,0.3104009624768002,0.8996617812852311,0.001
1,8,0.26207844209106557,0.9177001127395716,0.001
1,9,0.19664178597147597,0.9357384441939121,0.001
1,10,0.16092088599316565,0.9503945885005637,0.001
1,11,0.16478643451293398,0.9470124013528749,0.001
1,12,0.14582243461787633,0.9537767756482526,0.001
1,13,0.3268834330821924,0.8974069898534386,0.001
1,14,0.16481974028815277,0.943630214205186,0.001
1,15,0.11096673548691974,0.9661781285231116,0.001
1,16,0.1010996280353529,0.971815107102593,0.001
1,17,0.08941381751205835,0.971815107102593,0.001
1,18,0.07928755003307959,0.9729425028184893,0.001
1,19,0.11886881031053984,0.9627959413754228,0.001
1,20,0.06070865169503509,0.9808342728297632,0.001
1,21,0.059646926660682865,0.9830890642615558,0.0005
1,22,0.03237500713703463,0.9943630214205186,0.0005
1,23,0.02457956087553985,0.9932356257046223,0.0005
1,24,0.07706812431924508,0.9729425028184893,0.0005
1,25,0.04472570905825197,0.9864712514092446,0.0005
1,26,0.021684831419902965,0.9943630214205186,0.0005
1,27,0.021726177539151445,0.992108229988726,0.0005
1,28,0.021931929878151336,0.9932356257046223,0.0005
1,29,0.02617892177340815,0.9943630214205186,0.0005
1,30,0.017092260514231652,0.9954904171364148,0.0005
1,31,0.025394525771630927,0.9909808342728298,0.0005
1,32,0.021391476020468935,0.9966178128523112,0.0005
1,33,0.03037727050002341,0.9932356257046223,0.0005
1,34,0.017075493356387268,0.9966178128523112,0.0005
1,35,0.011799945269754364,0.9966178128523112,0.0005
1,36,0.01185659699251176,0.9966178128523112,0.0005
1,37,0.012556079937840194,0.9954904171364148,0.0005
1,38,0.015140788186564117,0.9943630214205186,0.0005
1,39,0.026361005765038387,0.992108229988726,0.0005
1,40,0.018654397391664808,0.9966178128523112,0.0005
1,41,0.0085030984132957,0.9988726042841037,0.00025
1,42,0.01923413975678779,0.9943630214205186,0.00025
1,43,0.009453198350147001,0.9977452085682075,0.00025
1,44,0.007110512280981597,1.0,0.00025
1,45,0.008430829751329562,0.9977452085682075,0.00025
1,46,0.011652065250442994,0.9966178128523112,0.00025
1,47,0.008300421200902647,0.9977452085682075,0.00025
1,48,0.008205660101206892,0.9988726042841037,0.00025
1,49,0.012561672962488021,0.9977452085682075,0.00025
1,50,0.004776520372379945,1.0,0.00025
2,1,1.1579676798661371,0.5682074408117249,0.001
2,2,0.8902018646107989,0.6505073280721533,0.001
2,3,0.6711489993663087,0.7508455467869222,0.001
2,4,0.6063902528605842,0.7812852311161218,0.001
2,5,0.4448887707146878,0.8410372040586246,0.001
2,6,0.39873074987964136,0.8635851183765502,0.001
2,7,0.3647241150916227,0.8703494926719278,0.001
2,8,0.24678947493484352,0.9244644870349493,0.001
2,9,0.21505931229776837,0.9368658399098083,0.001
2,10,0.24137381376045533,0.9301014656144306,0.001
2,11,0.22522417809541223,0.9289740698985344,0.001
2,12,0.15804380964668385,0.9526493799323562,0.001
2,13,0.13445076106164475,0.9549041713641488,0.001
2,14,0.13441055769094484,0.9549041713641488,0.001
2,15,0.12469889677162235,0.963923337091319,0.001
2,16,0.11713951663560368,0.9605411499436303,0.001
2,17,0.11803204669557268,0.9605411499436303,0.001
2,18,0.11419204169760427,0.9706877113866967,0.001
2,19,0.08994427582893727,0.971815107102593,0.001
2,20,0.09858227382585188,0.971815107102593,0.001
2,21,0.07734262362424926,0.9785794813979707,0.0005
2,22,0.03997655606407592,0.9853438556933484,0.0005
2,23,0.07379182595276644,0.971815107102593,0.0005
2,24,0.06460239371209245,0.979706877113867,0.0005
2,25,0.0488482075444136,0.9864712514092446,0.0005
2,26,0.030435002462995128,0.9954904171364148,0.0005
2,27,0.03494062414970312,0.9875986471251409,0.0005
2,28,0.033558045884567025,0.9898534385569335,0.0005
2,29,0.047665315708554985,0.9842164599774521,0.0005
2,30,0.06831599001719153,0.9819616685456595,0.0005
2,31,0.07201478209476729,0.979706877113867,0.0005
2,32,0.0369472754084985,0.9898534385569335,0.0005
2,33,0.05364824433337473,0.9842164599774521,0.0005
2,34,0.03644441679044466,0.9887260428410372,0.0005
2,35,0.02931074213484363,0.9932356257046223,0.0005
2,36,0.03185524023531725,0.9932356257046223,0.0005
2,37,0.04546789853521775,0.9864712514092446,0.0005
2,38,0.028347306711580332,0.9943630214205186,0.0005
2,39,0.013088646490523737,0.9977452085682075,0.0005
2,40,0.007609874812262437,1.0,0.0005
2,41,0.01346378988694513,0.9977452085682075,0.00025
2,42,0.011047244837387908,0.9977452085682075,0.00025
2,43,0.018206415773530018,0.9966178128523112,0.00025
2,44,0.008808116308857583,1.0,0.00025
2,45,0.00831877624916843,0.9988726042841037,0.00025
2,46,0.009154219936060781,0.9977452085682075,0.00025
2,47,0.007729203333677105,0.9977452085682075,0.00025
2,48,0.009044521806389934,0.9966178128523112,0.00025
2,49,0.005489163372661443,1.0,0.00025
2,50,0.006816851516939876,0.9988726042841037,0.00025
3,1,1.1758052007859026,0.560315670800451,0.001
3,2,0.7984451007816138,0.6967305524239008,0.001
3,3,0.6783084434613569,0.762119503945885,0.001
3,4,0.5396725993683266,0.8083427282976324,0.001
3,5,0.42745434649901837,0.8635851183765502,0.001
3,6,0.30986842133415593,0.90304396843292,0.001
3,7,0.26123106116775463,0.9064261555806088,0.001
3,8,0.2721628960654593,0.9098083427282976,0.001
3,9,0.20779455034009767,0.9334836527621195,0.001
3,10,0.20941932323013918,0.9357384441939121,0.001
3,11,0.152692213217731,0.9470124013528749,0.001
3,12,0.19846639603275593,0.9323562570462233,0.001
3,13,0.19425087648085837,0.9334836527621195,0.001
3,14,0.1272118403088079,0.9616685456595265,0.001
3,15,0.1170539758435903,0.9605411499436303,0.001
3,16,0.12084343131073029,0.9695603156708005,0.001
3,17,0.0924718198371713,0.9650507328072153,0.001
3,18,0.07488995586367578,0.9751972942502819,0.001
3,19,0.09015511993944578,0.9684329199549042,0.001
3,20,0.14470130575583512,0.95152198421646,0.001
3,21,0.054050199359890576,0.9875986471251409,0.0005
3,22,0.0255919557596056,0.9943630214205186,0.0005
3,23,0.028433107679632093,0.992108229988726,0.0005
3,24,0.03615115730306123,0.9909808342728298,0.0005
3,25,0.03151472741076481,0.9932356257046223,0.0005
3,26,0.019250366624692514,0.9954904171364148,0.0005
3,27,0.01954382873458416,0.9943630214205186,0.0005
3,28,0.024406920219724314,0.9898534385569335,0.0005
3,29,0.02350925019020351,0.992108229988726,0.0005
3,30,0.029308324749030282,0.9909808342728298,0.0005
3,31,0.023759684593678193,0.9932356257046223,0.0005
3,32,0.02932421512284401,0.9898534385569335,0.0005
3,33,0.021147903437141367,0.9943630214205186,0.0005
3,34,0.015530069705136667,0.9932356257046223,0.0005
3,35,0.02302679215403528,0.9943630214205186,0.0005
3,36,0.020252256308763112,0.9943630214205186,0.0005
3,37,0.01944514835965237,0.9932356257046223,0.0005
3,38,0.037273144383054846,0.9864712514092446,0.0005
3,39,0.028070386992651956,0.9909808342728298,0.0005
3,40,0.02343440929421443,0.9943630214205186,0.0005
3,41,0.01308157528291762,0.9977452085682075,0.00025
3,42,0.013248411273392675,0.9977452085682075,0.00025
3,43,0.008187478780168978,0.9977452085682075,0.00025
3,44,0.007023741809804551,0.9988726042841037,0.00025
3,45,0.007535213801963622,1.0,0.00025
3,46,0.00565260312369822,0.9988726042841037,0.00025
3,47,0.007861177922618126,0.9977452085682075,0.00025
3,48,0.005484482425114344,0.9988726042841037,0.00025
3,49,0.004764134363032953,0.9988726042841037,0.00025
3,50,0.005332951721910643,0.9988726042841037,0.00025
4,1,1.1104625855922161,0.5760992108229989,0.001
4,2,0.7622408562811278,0.7068771138669673,0.001
4,3,0.6486111456001221,0.7767756482525366,0.001
4,4,0.4939409403682696,0.8365276211950394,0.001
4,5,0.41850754766480364,0.8489289740698985,0.001
4,6,0.33552524309685156,0.8974069898534386,0.001
4,7,0.28984228808857004,0.9098083427282976,0.001
4,8,0.2402282756036137,0.9188275084554679,0.001
4,9,0.2113920277847647,0.9346110484780158,0.001
4,10,0.17869973575786646,0.95152198421646,0.001
4,11,0.20303991021170556,0.9379932356257046,0.001
4,12,0.11978910455171526,0.9650507328072153,0.001
4,13,0.16350200364057482,0.9470124013528749,0.001
4,14,0.11281047446449553,0.9650507328072153,0.001
4,15,0.08332592064542055,0.9808342728297632,0.001
4,16,0.07463303462863641,0.9774520856820744,0.001
4,17,0.07661126207102514,0.9774520856820744,0.001
4,18,0.13264679924711972,0.9616685456595265,0.001
4,19,0.055816024594353315,0.9864712514092446,0.001
4,20,0.07234271003191675,0.9751972942502819,0.001
4,21,0.07326952044210547,0.9774520856820744,0.0005
4,22,0.039481424299208395,0.9887260428410372,0.0005
4,23,0.03249199623389016,0.992108229988726,0.0005
4,24,0.03614240952083902,0.9875986471251409,0.0005
4,25,0.028416001112982547,0.9887260428410372,0.0005
4,26,0.03478395278442739,0.9853438556933484,0.0005
4,27,0.029143365253321618,0.992108229988726,0.0005
4,28,0.014107607237851875,0.9988726042841037,0.0005
4,29,0.024364049877160836,0.9943630214205186,0.0005
4,30,0.02790104570717728,0.992108229988726,0.0005
4,31,0.050738769788148036,0.9853438556933484,0.0005
4,32,0.03218153004483094,0.9875986471251409,0.0005
4,33,0.025593323426755837,0.9954904171364148,0.0005
4,34,0.016688414449302694,0.9943630214205186,0.0005
4,35,0.020958958405753538,0.992108229988726,0.0005
4,36,0.017933930771209073,0.992108229988726,0.0005
4,37,0.024634636673454738,0.9932356257046223,0.0005
4,38,0.01674566342964718,0.9932356257046223,0.0005
4,39,0.017521185871831057,0.9966178128523112,0.0005
4,40,0.015886288619229597,0.9943630214205186,0.0005
