,precision,recall,f1-score,support
box,0.9731404958677686,0.991578947368421,0.9822732012513035,475.0
can,0.9696969696969697,0.9915492957746479,0.9805013927576601,355.0
mug,1.0,0.9438202247191011,0.9710982658959537,89.0
bottle,0.9777777777777777,0.9041095890410958,0.9395017793594306,146.0
bowl,0.9302325581395349,0.9090909090909091,0.9195402298850575,44.0
accuracy,0.9729486023444545,0.9729486023444545,0.9729486023444545,0.9729486023444545
macro avg,0.9701695602964102,0.948029793198835,0.9585829738298811,1109.0
weighted avg,0.9731018466125423,0.9729486023444545,0.972689396383677,1109.0
