run,is_headline,model,scoring,split,eval_protocol,source_model,overall_accuracy,balanced_accuracy,n_instances,derived_from_data,provenance,box_accuracy,box_support,can_accuracy,can_support,mug_accuracy,mug_support,bottle_accuracy,bottle_support,bowl_accuracy,bowl_support
joint_v1,False,SAGE (joint scoring),joint,val_sample,video_level,trained_ycbv_final.json,0.784,,,False,"recorded constant (joint scoring, val_sample); no instance-level file on disk",0.947,475,0.949,355,0.326,89,0.315,146,0.182,44
ml_v2,True,SAGE (ML scoring),ml,val_sample,video_level,trained_ycbv_ml_v2.json,0.8944995491433724,0.7130843606139897,1109.0,True,"derived from results/sage/sage_predictions.csv (ml scoring, val_sample)",1.0,475,1.0,355,0.5168539325842697,89,0.684931506849315,146,0.36363636363636365,44
