,pred_box,pred_can,pred_mug,pred_bottle,pred_bowl
true_box,447,0,20,5,3
true_can,1,351,0,1,2
true_mug,19,0,64,3,3
true_bottle,22,0,2,121,1
true_bowl,11,0,5,3,25
