,precision,recall,f1-score,support
box,0.7794361525704809,0.9894736842105263,0.8719851576994434,475.0
can,1.0,0.9915492957746479,0.9957567185289957,355.0
mug,0.875,0.3146067415730337,0.4628099173553719,89.0
bottle,0.8611111111111112,0.636986301369863,0.7322834645669292,146.0
bowl,0.9285714285714286,0.29545454545454547,0.4482758620689655,44.0
accuracy,0.8620378719567178,0.8620378719567178,0.8620378719567178,0.8620378719567178
macro avg,0.8888237384506041,0.6456141136765232,0.7022222240439412,1109.0
weighted avg,0.8743792042834477,0.8620378719567178,0.8435655467876136,1109.0
