,precision,recall,f1-score,support
box,0.7660626029654036,0.9789473684210527,0.8595194085027726,475.0
can,1.0,0.9971830985915493,0.998589562764457,355.0
mug,0.7631578947368421,0.3258426966292135,0.4566929133858268,89.0
bottle,0.82,0.5616438356164384,0.6666666666666666,146.0
bowl,0.8,0.18181818181818182,0.2962962962962963,44.0
accuracy,0.8458070333633905,0.8458070333633905,0.8458070333633905,0.8458070333633905
macro avg,0.829844099540449,0.6090870362152871,0.6555529695232039,1109.0
weighted avg,0.8491621181606364,0.8458070333633905,0.8239738985409452,1109.0
