,precision,recall,f1-score,support
box,0.7840531561461794,0.9936842105263158,0.8765088207985144,475.0
can,1.0,0.9915492957746479,0.9957567185289957,355.0
mug,0.8064516129032258,0.2808988764044944,0.4166666666666667,89.0
bottle,0.8648648648648649,0.6575342465753424,0.7470817120622568,146.0
bowl,1.0,0.29545454545454547,0.45614035087719296,44.0
accuracy,0.8638412984670875,0.8638412984670875,0.8638412984670875,0.8638412984670875
macro avg,0.8910739267828539,0.6438242349470692,0.6984308537867253,1109.0
weighted avg,0.8741836907016164,0.8638412984670875,0.8440602017043346,1109.0
