,precision,recall,f1-score,support
box,0.8909090909090909,0.9284210526315789,0.9092783505154639,475.0
can,1.0,0.9887323943661972,0.9943342776203966,355.0
mug,0.6774193548387096,0.7078651685393258,0.6923076923076923,89.0
bottle,0.9015151515151515,0.815068493150685,0.8561151079136691,146.0
bowl,0.7105263157894737,0.6136363636363636,0.6585365853658537,44.0
accuracy,0.9026149684400361,0.9026149684400361,0.9026149684400361,0.9026149684400361
macro avg,0.836073982610485,0.81074469446483,0.8221144027446151,1109.0
weighted avg,0.9029364389345468,0.9026149684400361,0.9021457936672354,1109.0
