,pred_box,pred_can,pred_mug,pred_bottle,pred_bowl
true_box,458,0,8,6,3
true_can,1,351,1,1,1
true_mug,19,0,66,2,2
true_bottle,18,0,2,125,1
true_bowl,11,0,4,2,27
