,pred_box,pred_can,pred_mug,pred_bottle,pred_bowl
true_box,466,0,5,4,0
true_can,0,353,1,1,0
true_mug,58,0,31,0,0
true_bottle,65,0,1,75,5
true_bowl,19,0,0,16,9
