,pred_box,pred_can,pred_mug,pred_bottle,pred_bowl
true_box,470,0,1,4,0
true_can,3,352,0,0,0
true_mug,50,0,28,10,1
true_bottle,53,0,0,93,0
true_bowl,27,0,3,1,13
