,precision,recall,f1-score,support
box,0.903353057199211,0.9642105263157895,0.9327902240325866,475.0
can,1.0,0.9887323943661972,0.9943342776203966,355.0
mug,0.8148148148148148,0.7415730337078652,0.7764705882352941,89.0
bottle,0.9191176470588235,0.8561643835616438,0.8865248226950354,146.0
bowl,0.7941176470588235,0.6136363636363636,0.6923076923076923,44.0
accuracy,0.9260595130748422,0.9260595130748422,0.9260595130748422,0.9260595130748422
macro avg,0.8862806332263344,0.8328633403175718,0.856485520978201,1109.0
weighted avg,0.9249265767622366,0.9260595130748422,0.9243138592413654,1109.0
