,precision,recall,f1-score,support
box,0.7664473684210527,0.9810526315789474,0.8605724838411819,475.0
can,1.0,0.9943661971830986,0.9971751412429378,355.0
mug,0.8157894736842105,0.34831460674157305,0.4881889763779528,89.0
bottle,0.78125,0.5136986301369864,0.6198347107438017,146.0
bowl,0.6428571428571429,0.20454545454545456,0.3103448275862069,44.0
accuracy,0.842200180342651,0.842200180342651,0.842200180342651,0.842200180342651
macro avg,0.8012687969924812,0.608395504037212,0.6552232279584163,1109.0
weighted avg,0.8422145874153374,0.842200180342651,0.8208917619890265,1109.0
