,pred_box,pred_can,pred_mug,pred_bottle,pred_bowl
true_box,465,0,6,4,0
true_can,0,354,0,0,1
true_mug,60,0,29,0,0
true_bottle,62,0,1,82,1
true_bowl,20,0,2,14,8
