,pred_box,pred_can,pred_mug,pred_bottle,pred_bowl
true_box,472,0,1,2,0
true_can,2,352,0,1,0
true_mug,52,0,25,12,0
true_bottle,49,0,1,96,0
true_bowl,27,0,4,0,13
