,precision,recall,f1-score,support
box,0.894,0.9410526315789474,0.916923076923077,475.0
can,1.0,0.9887323943661972,0.9943342776203966,355.0
mug,0.7032967032967034,0.7191011235955056,0.7111111111111111,89.0
bottle,0.9097744360902256,0.8287671232876712,0.8673835125448028,146.0
bowl,0.7352941176470589,0.5681818181818182,0.6410256410256411,44.0
accuracy,0.90892696122633,0.90892696122633,0.90892696122633,0.90892696122633
macro avg,0.8484730514067976,0.8091670182020279,0.8261555238450058,1109.0
weighted avg,0.9084070472849867,0.90892696122633,0.9077178900083503,1109.0
