noise,sage_accuracy,pointnet_accuracy
0.0,93.14697926059513,93.23715058611361
1.5,91.49868536371604,93.3273219116321
2.0,89.49615713065756,93.41749323715058
2.5,87.65534382767191,93.14697926059513
3.0,85.4251012145749,93.14697926059513
3.5,82.82988871224165,91.97475202885482
4.0,78.7201233616037,91.25338142470694
