noise,overall_accuracy,balanced_accuracy,n,can_accuracy,bowl_accuracy,mug_accuracy,box_accuracy,bottle_accuracy
0.0,0.9314697926059513,0.8283206927304688,1109,1.0,0.6363636363636364,0.651685393258427,0.9768421052631578,0.8767123287671232
1.5,0.9149868536371604,0.7726147459411165,1141,1.0,0.4878048780487805,0.6395348837209303,0.9919839679358717,0.74375
2.0,0.8949615713065756,0.7601780085469327,1171,1.0,0.5238095238095238,0.6067415730337079,0.9742063492063492,0.6961325966850829
2.5,0.8765534382767192,0.7363392392258372,1207,1.0,0.5111111111111111,0.5909090909090909,0.9714285714285714,0.6082474226804123
3.0,0.854251012145749,0.7143075850979821,1235,1.0,0.5111111111111111,0.5869565217391305,0.9558823529411765,0.5175879396984925
3.5,0.8282988871224165,0.6741451929810458,1258,1.0,0.4666666666666667,0.5151515151515151,0.9649446494464945,0.423963133640553
4.0,0.787201233616037,0.6247636501409737,1297,1.0,0.46511627906976744,0.3902439024390244,0.977859778597786,0.2905982905982906
