points,overall_accuracy,balanced_accuracy,n,can_accuracy,bowl_accuracy,mug_accuracy,box_accuracy,bottle_accuracy
1024,0.9288928892889289,0.8259880315762669,1111,1.0,0.6428571428571429,0.6477272727272727,0.9726890756302521,0.8666666666666667
512,0.9274563820018366,0.8096639069584072,1089,1.0,0.5238095238095238,0.7303370786516854,0.9846491228070176,0.8095238095238095
256,0.9341262580054894,0.8177702427162471,1093,1.0,0.5909090909090909,0.6136363636363636,0.9892008639308856,0.8951048951048951
128,0.9245107176141659,0.794803928597032,1073,1.0,0.5128205128205128,0.6333333333333333,0.9864864864864865,0.8413793103448276
64,0.9090909090909091,0.7793866363102457,1089,1.0,0.4666666666666667,0.6931818181818182,0.9633620689655172,0.7737226277372263
