points,sage_accuracy,pointnet_accuracy
1024,92.88928892889288,93.23715058611361
512,92.74563820018365,92.69612263300272
256,93.41262580054894,92.15509467989179
128,92.45107176141659,91.5238954012624
64,90.9090909090909,87.64652840396754
