overall_accuracy,balanced_accuracy,box_accuracy,can_accuracy,mug_accuracy,bottle_accuracy,bowl_accuracy,noise_sigma_m,noise_sigma_mm
0.9323715058611362,0.9184826770551039,0.9221052631578948,0.9746478873239437,0.9325842696629213,0.8767123287671232,0.8863636363636364,0.0,0.0
0.9278629395852119,0.9123689994530902,0.9221052631578948,0.9690140845070423,0.9213483146067416,0.863013698630137,0.8863636363636364,0.0015,1.5
0.9278629395852119,0.9140528101826362,0.9221052631578948,0.9661971830985916,0.9325842696629213,0.863013698630137,0.8863636363636364,0.002,2.0
0.9242560865644724,0.9104709788920811,0.9178947368421052,0.9661971830985916,0.9325842696629213,0.8493150684931506,0.8863636363636364,0.0025,2.5
0.9251577998196574,0.9100855487916515,0.92,0.9690140845070423,0.9325842696629213,0.8424657534246576,0.8863636363636364,0.003,3.0
0.9242560865644724,0.9064889046283167,0.9178947368421052,0.9690140845070423,0.9325842696629213,0.8493150684931506,0.8636363636363636,0.0035,3.5
0.9179440937781785,0.9012169324926911,0.9136842105263158,0.9605633802816902,0.9325842696629213,0.8356164383561644,0.8636363636363636,0.004,4.0
