model,metric,class,n_instances,accuracy,ci_lower,ci_upper,ci_lower_clustered,ci_upper_clustered,cluster_kind,n_clusters,ci_width_iid,ci_width_clustered
svm_linear_groupkfold,per_class_accuracy,bottle,146,0.5205479452054794,0.43818493150684945,0.6027397260273972,,,,,,
svm_linear_groupkfold,per_class_accuracy,bowl,44,0.25,0.11363636363636363,0.38636363636363635,,,,,,
svm_rbf_groupkfold,overall_accuracy,all,1109,0.8557258791704238,0.8340622182146078,0.8755635707844905,0.8088222511951326,0.8974171637699133,object_proxy,201.0,0.04150135256988274,0.0885949125747807
svm_rbf_groupkfold,per_class_accuracy,box,475,0.9642105263157895,0.9473684210526315,0.9810526315789474,,,,,,
svm_rbf_groupkfold,per_class_accuracy,can,355,0.9943661971830986,0.9859154929577465,1.0,,,,,,
svm_rbf_groupkfold,per_class_accuracy,mug,89,0.33707865168539325,0.23595505617977527,0.4272471910112357,,,,,,
svm_rbf_groupkfold,per_class_accuracy,bottle,146,0.6506849315068494,0.5753424657534246,0.7191780821917808,,,,,,
svm_rbf_groupkfold,per_class_accuracy,bowl,44,0.29545454545454547,0.1590909090909091,0.4318181818181818,,,,,,
pointnet,overall_accuracy,all,1109,0.9774571686203787,0.9684400360685302,0.9855725879170424,0.9672746493317976,0.9862909335288368,object_proxy,201.0,0.017132551848512145,0.019016284197039157
pointnet,per_class_accuracy,box,475,0.9936842105263158,0.9852631578947368,1.0,,,,,,
pointnet,per_class_accuracy,can,355,0.9915492957746479,0.9802816901408451,1.0,,,,,,
pointnet,per_class_accuracy,mug,89,0.9550561797752809,0.9101123595505618,0.9887640449438202,,,,,,
pointnet,per_class_accuracy,bottle,146,0.9246575342465754,0.8767123287671232,0.9657534246575342,,,,,,
pointnet,per_class_accuracy,bowl,44,0.9090909090909091,0.8181818181818182,0.9772727272727273,,,,,,
pointnet_grouped,overall_accuracy,all,1109,0.9386834986474302,0.9242560865644724,0.9522091974752029,0.8986284769189149,0.971099416213729,object_proxy,201.0,0.027953110910730494,0.07247093929481407
pointnet_grouped,per_class_accuracy,box,475,0.9305263157894736,0.9073684210526316,0.9536842105263158,,,,,,
pointnet_grouped,per_class_accuracy,can,355,0.9746478873239437,0.9577464788732394,0.9887323943661972,,,,,,
pointnet_grouped,per_class_accuracy,mug,89,0.9438202247191011,0.898876404494382,0.9887640449438202,,,,,,
pointnet_grouped,per_class_accuracy,bottle,146,0.8835616438356164,0.8287671232876712,0.9315068493150684,,,,,,
pointnet_grouped,per_class_accuracy,bowl,44,0.9090909090909091,0.8181818181818182,0.9772727272727273,,,,,,
pointnet_groupkfold,overall_accuracy,all,1109,0.9323715058611362,0.9170423805229937,0.9459197475202885,0.8975840624856841,0.9621813627286886,object_proxy,201.0,0.028877366997294818,0.06459730024300447
pointnet_groupkfold,per_class_accuracy,box,475,0.9221052631578948,0.8947368421052632,0.9452631578947368,,,,,,
pointnet_groupkfold,per_class_accuracy,can,355,0.9746478873239437,0.9577464788732394,0.9915492957746479,,,,,,
pointnet_groupkfold,per_class_accuracy,mug,89,0.9325842696629213,0.8764044943820225,0.9775280898876404,,,,,,
pointnet_groupkfold,per_class_accuracy,bottle,146,0.8767123287671232,0.815068493150685,0.9315068493150684,,,,,,
pointnet_groupkfold,per_class_accuracy,bowl,44,0.8863636363636364,0.7727272727272727,0.9772727272727273,,,,,,
